product_id,product_title,cleaned_title
63,echo buds 真无线降噪耳机,echo buds 真 无线 降噪 耳机
64,机械键盘帽,机械 键盘 帽
66,非常实用的屏幕,非常 实用 的 屏幕
68,密码门锁,密码 门锁
69,德州扑克桌子,德州 扑克 桌子
70,德州扑克筹码,德州 扑克 筹码
71,可充电电池,可 充电电池
72,手提充电吸尘器 拖线式,手提 充电 吸尘器 拖线式
73,擦轮子器,擦 轮子 器
74,移动小书桌，附带盆栽,移动 小 书桌 附带 盆栽
75,微软无线降噪耳机 surface headphone,微软 无线 降噪 耳机 surface headphone
76,每件一刀,每件 一刀
77,apple手机视频转接线,apple 手机 视频 转接线
78,双面胶带,双面胶 带
79,洋葱种子,洋葱 种子
80,honeywell取暖器,honeywell 取暖器
81,厨房用纸架,厨房 用纸 架
82,电子秤 体脂秤,电子秤 体脂 秤
83,单人沙发 可放倒,单人 沙发 可放 倒
84,骰子套装，世界大战,骰子 套装 世界大战
85,护腰带,护 腰带
86,磨刀器,磨刀 器
87,pink salt 研磨器,pink salt 研磨 器
88,汽车 电池 jumpstarter 跳线 应急电源,汽车 电池 jumpstarter 跳线 应急 电源
89,微软 人体工学键盘鼠标套装,微软 人体工学 键盘 鼠标 套装
90,3DS 带怪物猎人，马车7，星之卡比，马里奥,3ds 带 怪物 猎人 马车 7 星 之 卡比 马里奥
91,二阶魔方 打乱,二阶 魔方 打乱
92,图像转换 mini dp displayport 转hdmi+vga,图像 转换 mini dp displayport 转 hdmi vga
93,无用的盒子,无用 的 盒子
94,小盒筹码，德州扑克，德州筹码,小盒 筹码 德州 扑克 德州 筹码
95,经典中华铅笔,经典 中华 铅笔
96,苹果音频线 lighting 转3.5 aux,苹果 音频线 lighting 转 aux
97,oculus rift vr 加三个运动传感器,oculus rift vr 加 三个 运动 传感器
98,罗技手柄 支持电脑xbox,罗技 手柄 支持 电脑 xbox
99,kindle paperwhite3 98成新,kindle paperwhite3 98 成新
100,十三寸笔记本保护套,十三 寸 笔记本 保护套
101,iclicker 2,iclicker 2
102,34寸 带鱼屏 显示器 21：9 LG34UM58,34 寸 带鱼 屏 显示器 21 9 lg34um58
103,双屏手机 中兴 ZTE axonM 折叠屏,双屏 手机 中兴 zte axonm 折叠 屏
104,AOC 60hz 显示器27寸,aoc 60hz 显示器 27 寸
105,三层架子,三层 架子
106,电动滑板 swagboard,电动 滑板 swagboard
107,熊猫玩偶,熊猫 玩偶
108,充气床垫,充气床 垫
109,猴子玩偶,猴子 玩偶
110,queensize充气床垫,queensize 充气床 垫
111,玩偶,玩偶
112,瑜伽垫,瑜伽 垫
113,电子琴架,电子琴 架
114,鞋架,鞋架
115,温馨台灯,温馨 台灯
116,supreme挂饰,supreme 挂饰
117,card agaisnt humanity卡牌游戏,card agaisnt humanity 卡牌 游戏
118,雨伞,雨伞
119,爆炸猫 卡牌游戏,爆炸 猫 卡牌 游戏
120,单人掀开式沙发,单人 掀开 式 沙发
121,时钟 9成新,时钟 9 成新
122,储物小架子,储物 小 架子
123,微软保温包,微软 保温 包
125,沙发靠枕 便宜出,沙发 靠枕 便宜 出
126,2020纸质日历,2020 纸质 日历
127,衣架,衣架
128,BOSS音响,boss 音响
129,喷雾杀虫剂,喷雾 杀虫剂
130,chanel购物袋,chanel 购物袋
131,小推车,小推车
132,adidas跑步鞋,adidas 跑步 鞋
133,9成新便携式和手持式烫衣服机,9 成新 便携式 和 手持式 烫 衣服 机
134,多功能螺丝刀（10种）,多功能 螺丝刀 10 种
135,落地灯，床头灯,落地灯 床头灯
137,BCAA Mega-Size Optimum,bcaa mega size optimum
138,iClicker 2,iclicker 2
139,化工热力学教科书,化工 热力学 教科书
140,60个骰子 加 四个骰盅,60 个 骰子 加 四个 骰盅
142,出homepod,出 homepod
143,GRE巴朗,gre 巴朗
144,订书机胶带胶水三件1刀,订书机 胶带 胶水 三件 1 刀
145,胶带挂钩消毒水擦车布卷尺马克笔,胶带 挂钩 消毒水 擦 车布 卷尺 马克笔
146,降价！ 扫雪铲,降价 扫雪 铲
147,超大功率吸尘器,超 大功率 吸尘器
148,分子模型 化学课必备,分子 模型 化学课 必备
149,标准日本语上下册,标准 日本语 上下册
150,蔡康永的说话之道,蔡康永 的 说话 之道
151,Lab Notebook for PChem Lab,lab notebook for pchem lab
152,三行情诗 - MiraLAX 泻药 未开过,三 行情 诗 miralax 泻药 未开 过
153,降价！2014 BMW 428i,降价 2014 bmw 428i
154,全新 调酒套装大礼包,全新 调酒 套装 大礼包
155,九成新 炎炎夏日 即饮料机,九成新 炎炎夏日 即 饮料机
156,厨房必备 料理搅拌器！,厨房 必备 料理 搅拌器
158,金条，fine gold，1oz，未拆封,金条 fine gold 1oz 未 拆封
159,旋转沙发,旋转 沙发
160,Logitech鼠标G502,logitech 鼠标 g502
161,lysol 消毒喷雾,lysol 消毒 喷雾
162,晨光-单页文件夹x8,晨光 单页 文件夹 x8
163,华硕台式机,华硕 台式机
164,Logitech G213,logitech g213
165,ipad air3玻璃膜,ipad air3 玻璃 膜
166,气场,气场
167,打包 两个一起,打包 两个 一起
168,上海堡垒,上海 堡垒
169,Fr351 课本,fr351 课本
170,什么是心理学,什么 是 心理学
171,吉他自学3月通,吉他 自学 3 月通
172,iPad air2 星空壳,ipad air2 星空 壳
173,心流,心流
174,晨光修正带,晨光 修正 带
175,空气清新剂,空气 清新剂
176,健身束手带,健身 束手 带
177,可爱disney玩偶,可爱 disney 玩偶
178,开瓶器,开瓶器
179,雅马哈吉他,雅马哈 吉他
180,灯泡,灯泡
181,2016 C300,2016 c300
182,king size床架+床垫,king size 床架 床垫
183,床头灯；落地灯；置物柜灯,床头灯 落地灯 置物 柜灯
184,置物柜,置物柜
185,白色餐桌 +4把椅子,白色 餐桌 4 把 椅子
186,茶几,茶几
187,鞋架；衣架,鞋架 衣架
188,吸尘器,吸尘器
189,Nike 刺客 11,nike 刺客 11
190,全新 Yeezy boost350 V2 带盒,全新 yeezy boost350 v2 带盒
191,全自动豆浆机,全自动 豆浆机
192,床头星型灯,床头 星型 灯
193,落地灯,落地灯
194,白色地毯,白色 地毯
195,画笔,画笔
196,白色榨汁机,白色 榨汁机
197,吹风机,吹风机
198,全新 GRE阅读写作填空技巧,全新 gre 阅读写作 填空 技巧
199,单人/双人电饭煲,单人 双人 电饭煲
200,iClicker 2,iclicker 2
201,Java IST140 240 入门书,java ist140 240 入门 书
202,靴子收纳架,靴子 收纳 架
203,身体磨砂膏,身体 磨砂膏
204,Ciate 散粉,ciate 散粉
205,出一个电脑,出 一个 电脑
206,IST421 教材,ist421 教材
207,洗衣机,洗衣机
208,电饭煲,电饭煲
209,coach挂链,coach 挂链
210,开罐器 漏勺 图上所有,开罐器 漏勺 图上 所有
211,coach情侣挂链,coach 情侣 挂链
212,加湿器,加湿器
213,,
214,热水壶,热 水壶
215,两个显示器 1080,两个 显示器 1080
216,电暖器,电暖器
217,脚凳,脚凳
218,加湿器,加湿器
219,洗牙器 新喷头,洗牙器 新 喷头
220,限时甩卖！电视柜,限时 甩卖 电视柜
221,沙发,沙发
222,投影仪 DBPOWER LED projector,投影仪 dbpower led projector
223,电子琴延音踏板（全新，但无原包装）,电子琴 延音 踏板 全新 但 无原 包装
224,德州仪器 TI-89 图形编程计算机/ 出国留学AP/SAT必备,德州仪器 ti 89 图形 编程 计算机 出国 留学 ap sat 必备
225,微波炉 第一任买家,微波炉 第一任 买家
226,兰蔻 Lancome 美丽人生香水 1oz/30ml,兰蔻 lancome 美丽 人生 香水 1oz 30ml
227,PS4,ps4
228,1夸和3夸 suace pan,1 夸 和 3 夸 suace pan
229,火锅烤肉二合一,火锅 烤肉 二合一
230,独立包装手套,独立 包装 手套
231,iclicker 2 上课必备,iclicker 2 上课 必备
232,Thymes 香薰蜡烛 玻璃瓶子 全新未拆封,thymes 香薰 蜡烛 玻璃瓶 子 全新 未 拆封
233,(Warranty里)Amarey扫地机器人,warranty 里 amarey 扫地 机器人
234,一小堆香薰蜡烛 放水里可浮起来 打包卖,一小堆 香薰 蜡烛 放水 里 可浮 起来 打包 卖
235,口红盒/粘毛刷/扫把（全新） 可打包卖 生活家居必备,口红 盒 粘 毛刷 扫把 全新 可 打包 卖 生活 家居 必备
236,水粉工具，纸 调色盘 画笔,水粉 工具 纸 调色盘 画笔
237,Exploring Management,exploring management
238,铅笔全新一套,铅笔 全新 一套
239,24色彩色铅笔,24 色彩 色 铅笔
240,炭笔,炭笔
241,勾线笔,勾线 笔
242,假睫毛 全新,假睫毛 全新
243,水粉工具 画本 画笔 调色盘,水粉 工具 画 本 画笔 调色盘
244,双眼皮贴,双眼皮 贴
245,悦诗风吟散粉 全新,悦诗 风吟 散粉 全新
246,超大落地全身镜,超大 落地 全身 镜
247,全新消毒防护用具,全新 消毒 防护 用具
248,吉他带变调夹吉他包,吉他 带 变调 夹 吉他 包
249,Google Wi-Fi 3-Pack,google wi fi 3 pack
250,POLA 黑BA 保湿乳液,pola 黑 ba 保湿 乳液
251,闲置小挎包,闲置 小 挎包
252,韩式蝴蝶结头绳（钢丝）,韩式 蝴蝶结 头绳 钢丝
253,全新搓澡球,全新 搓澡 球
254,Russian 002-003课本,russian 002 003 课本
255,！急售！Relx 烟弹 2*烟草 1*绿豆,急售 relx 烟弹 2 烟草 1 绿豆
256,急售 Mugs 两个带防烫防滑杯套,急售 mugs 两个 带防 烫 防滑 杯套
257,急售 电饭煲\慢煮锅\蒸锅,急售 电饭煲 慢煮 锅 蒸锅
258,全新未拆封 pokemon let's go pikachu,全新 未 拆封 pokemon let s go pikachu
259,7成新 razor phone 2,7 成新 razor phone 2
260,胶囊咖啡机,胶囊 咖啡机
261,超实用小桌子,超 实用 小桌子
262,健身运动器材,健身运动 器材
263,平板便携跑步机 八成新 价格可议,平板 便携 跑步机 八成新 价格 可议
264,出2010年卡罗拉,出 2010 年 卡罗 拉
265,27寸Imac,27 寸 imac
266,香薰蜡烛,香薰 蜡烛
267,双面镜子,双面 镜子
268,颈部靠枕,颈部 靠枕
269,晾衣架,晾衣架
270,打孔器,打孔器
271,玻璃水罐,玻璃 水罐
272,电热水壶,电热水壶
273,电热水壶,电热水壶
274,surface cover,surface cover
275,餐巾纸夹,餐巾纸 夹
276,空气消毒喷雾,空气 消毒 喷雾
277,挂门式穿衣镜,挂门式 穿衣镜
278,床垫,床垫
279,八年老店从业6年,八年 老店 从业 6 年
280,5/16毕业回国 急出 周四 周五全天可送货上门,5 16 毕业 回国 急出 周四 周五 全天 可 送货上门
281,2017 Subaru WRX STI,2017 subaru wrx sti
282,2014 Volkswagen Touareg V6 Sport,2014 volkswagen touareg v6 sport
283,Nars卷笔刀,nars 卷笔刀
284,插线板,插 线板
285,出几套防护服和护目镜,出 几套 防护服 和 护目镜
287,Amazon echo auto,amazon echo auto
288,宜家Ikea落地灯带灯泡,宜家 ikea 落地灯 带 灯泡
289,i clicker 2,i clicker 2
290,三层层架,三 层层 架
291,鸳鸯锅,鸳鸯锅
292,收纳箱,收纳 箱
293,可拆卸鞋柜,可拆卸 鞋柜
294,可拆卸衣架,可拆卸 衣架
